method,seed,model_slug,objective,transform,rho,threshold_delta,conflict_filter,opposite_margin,validation_macro_f1,validation_micro_f1,validation_macro_auprc,validation_micro_auprc,validation_circular_error,validation_opposite_value_activation,validation_neighbor_error_rate,validation_opposite_error_rate,validation_confusion_distance_correlation,validation_geometry_cost,validation_n_predictions,validation_prediction_rate,test_macro_f1,test_micro_f1,test_macro_auprc,test_micro_auprc,test_circular_error,test_opposite_value_activation,test_neighbor_error_rate,test_opposite_error_rate,test_confusion_distance_correlation,test_geometry_cost,test_n_predictions,test_prediction_rate
asl,7,deberta-v3-base,standard,none,0.0,0.0,none,,0.27678299174692433,0.3187255270074559,0.19758051671936325,0.2413640018107558,0.20468693078853517,0.0832391452183287,0.17787848746636453,0.48619175754142474,-0.05510175572680937,0.7741178335482886,10032.0,0.03542673107890499,0.26810382181103454,0.3111477210323998,0.204163647161507,0.24235932765632798,0.19997216897286949,0.08026944026864752,0.20121072355145575,0.4729028538483713,-0.10289083391580314,0.7531444630898882,9771.0,0.03529845273489854
asl,7,deberta-v3-base,f1,none,0.0,0.0,none,,0.27678299174692433,0.3187255270074559,0.19758051671936325,0.2413640018107558,0.20468693078853517,0.0832391452183287,0.17787848746636453,0.48619175754142474,-0.05510175572680937,0.7741178335482886,10032.0,0.03542673107890499,0.26810382181103454,0.3111477210323998,0.204163647161507,0.24235932765632798,0.19997216897286949,0.08026944026864752,0.20121072355145575,0.4729028538483713,-0.10289083391580314,0.7531444630898882,9771.0,0.03529845273489854
asl,7,deberta-v3-base,pareto_99,none,0.0,0.0,none,,0.27678299174692433,0.3187255270074559,0.19758051671936325,0.2413640018107558,0.20468693078853517,0.0832391452183287,0.17787848746636453,0.48619175754142474,-0.05510175572680937,0.7741178335482886,10032.0,0.03542673107890499,0.26810382181103454,0.3111477210323998,0.204163647161507,0.24235932765632798,0.19997216897286949,0.08026944026864752,0.20121072355145575,0.4729028538483713,-0.10289083391580314,0.7531444630898882,9771.0,0.03529845273489854
asl,7,deberta-v3-base,pareto_98,opposite_suppression,0.5,-0.05,opposite_margin,0.1,0.27173776651054427,0.2904592943031737,0.18284396983004264,0.22152220146363583,0.16914490426233394,0.06728260656537151,0.18708495534692007,0.4677123883673002,-0.09640317071187884,0.7041398991950056,11681.0,0.04124996468627285,0.267413488708772,0.2858438744141511,0.18768494384879875,0.2205137912668102,0.16537425709005507,0.06486212773061195,0.19992997198879553,0.45401493930905695,-0.11523100436223623,0.684251324129724,11404.0,0.041197784770113904
asl,7,deberta-v3-base,pareto_95,opposite_suppression,1.0,-0.05,opposite_margin,0.1,0.26764082997912964,0.293592354692151,0.18009217566983726,0.21839283077021698,0.1409847738967866,0.054928700954878826,0.18726543289763167,0.47068720072473147,-0.095330025644954,0.6666006755763969,10538.0,0.03721360567279713,0.2667726090863338,0.291415461772395,0.1841693206378572,0.2173716529583771,0.1379748656688156,0.052966159702114046,0.2019014921431401,0.45899907566354153,-0.12303091094081658,0.6499401010344712,10304.0,0.037223954250373
asl,11,deberta-v3-base,standard,none,0.0,0.0,none,,0.32211473843684507,0.369163842379483,0.25079232559567916,0.28445658414084607,0.5742624508908138,0.2343549105278809,0.1924357437741377,0.4890131841789852,-0.09436335683930827,1.29763054559768,11158.0,0.03940305675622228,0.30532890711885186,0.35423440161015635,0.25302096688404563,0.28983717087666633,0.5687114552214213,0.2308080031564136,0.20397015720756728,0.48081534772182255,-0.14673087296729434,1.2803348060996576,10938.0,0.039514325659023665
asl,11,deberta-v3-base,f1,none,0.0,0.0,opposite_margin,0.1,0.32232628578310263,0.36827984728098234,0.25079232559567916,0.28445658414084607,0.5742624508908138,0.2343549105278809,0.1946681477367398,0.48528186614829216,-0.12399656925536631,1.293899227566987,10771.0,0.03803641551543916,0.3051854320266197,0.3547078349754992,0.25302096688404563,0.28983717087666633,0.5687114552214213,0.2308080031564136,0.2063005296905492,0.47797602453303595,-0.17767114475171847,1.277495482910871,10540.0,0.03807652152551741
asl,11,deberta-v3-base,pareto_99,none,0.0,0.0,opposite_margin,0.1,0.32232628578310263,0.36827984728098234,0.25079232559567916,0.28445658414084607,0.5742624508908138,0.2343549105278809,0.1946681477367398,0.48528186614829216,-0.12399656925536631,1.293899227566987,10771.0,0.03803641551543916,0.3051854320266197,0.3547078349754992,0.25302096688404563,0.28983717087666633,0.5687114552214213,0.2308080031564136,0.2063005296905492,0.47797602453303595,-0.17767114475171847,1.277495482910871,10540.0,0.03807652152551741
asl,11,deberta-v3-base,pareto_98,none,0.0,0.0,opposite_margin,0.1,0.32232628578310263,0.36827984728098234,0.25079232559567916,0.28445658414084607,0.5742624508908138,0.2343549105278809,0.1946681477367398,0.48528186614829216,-0.12399656925536631,1.293899227566987,10771.0,0.03803641551543916,0.3051854320266197,0.3547078349754992,0.25302096688404563,0.28983717087666633,0.5687114552214213,0.2308080031564136,0.2063005296905492,0.47797602453303595,-0.17767114475171847,1.277495482910871,10540.0,0.03807652152551741
asl,11,deberta-v3-base,pareto_95,opposite_suppression,0.5,-0.05,opposite_margin,0.0,0.31150892524660695,0.36285309194023346,0.2502778580203903,0.2845791257186589,0.4478253422646469,0.18057346484858205,0.20015625,0.48453125,-0.14411963153777912,1.112930057113229,9727.0,0.03434966240076843,0.30257294089257636,0.35610352104853943,0.25346084986882284,0.2898501262219521,0.44327279149784504,0.1775509600888935,0.2100298695173715,0.48357176544568464,-0.18701128791906427,1.1043955170324231,9567.0,0.034561487802146594
asl,42,deberta-v3-base,standard,none,0.0,0.0,none,,0.2794048491512511,0.3232345013477089,0.20125516957064948,0.24208015650890327,0.2565613266261969,0.09815498268226168,0.18138596743985017,0.481342746002017,-0.07231025688537322,0.8360590553104756,9939.0,0.03509831341639122,0.2759772384232524,0.3232837307075289,0.20842090534240537,0.24374602506407983,0.24980030997285277,0.09466495641137374,0.20145920190589636,0.46813579511614056,-0.12673301019061256,0.812601061500367,9638.0,0.03481798049932987
asl,42,deberta-v3-base,f1,none,0.0,0.0,none,,0.2794048491512511,0.3232345013477089,0.20125516957064948,0.24208015650890327,0.2565613266261969,0.09815498268226168,0.18138596743985017,0.481342746002017,-0.07231025688537322,0.8360590553104756,9939.0,0.03509831341639122,0.2759772384232524,0.3232837307075289,0.20842090534240537,0.24374602506407983,0.24980030997285277,0.09466495641137374,0.20145920190589636,0.46813579511614056,-0.12673301019061256,0.812601061500367,9638.0,0.03481798049932987
asl,42,deberta-v3-base,pareto_99,none,0.0,0.0,opposite_margin,0.0,0.2771149364368179,0.3228998721298716,0.20125516957064948,0.24208015650890327,0.2565613266261969,0.09815498268226168,0.18201483312731767,0.4813040791100124,-0.10388692673758748,0.8360203884184709,9376.0,0.033110150577732575,0.2728899154801685,0.3215856514537042,0.20842090534240537,0.24374602506407983,0.24980030997285277,0.09466495641137374,0.2021429713737406,0.4701743163281625,-0.16145125612268582,0.8146395827123889,9068.0,0.03275881377546413
asl,42,deberta-v3-base,pareto_98,opposite_suppression,0.5,-0.05,none,,0.2764966551815143,0.3207445663869163,0.18816676879347438,0.21775613682608325,0.20835674993547298,0.07794382627837024,0.18181818181818182,0.4834190966266438,-0.08176763190218389,0.7697196728404869,9977.0,0.03523250557956889,0.27509168477342644,0.32195878573011294,0.19566077662810824,0.2223074863466181,0.20274720062246274,0.07487814849030788,0.2030714179215745,0.47114954525123004,-0.1342025147309649,0.7487748943640007,9613.0,0.03472766616933576
asl,42,deberta-v3-base,pareto_95,opposite_suppression,1.0,-0.05,opposite_margin,0.0,0.2689734410070067,0.3197579706772167,0.1856173567746544,0.21378656947544192,0.17037067272530282,0.06239358581062025,0.1815062617944759,0.49116486532852976,-0.10206866353017964,0.7239291238644529,8577.0,0.030288583778286294,0.27043481525659435,0.32103474995529596,0.19234715565811306,0.21854588104096054,0.16571912122292665,0.05970688696762804,0.2021257750221435,0.48343666961913195,-0.1599083541937078,0.7088626778096867,8338.0,0.03012163533963607
